Song,Artist,Album,Cover art,Year released
Gods plan ,Drake ,Scorpion,cmu://879280/42186564/artworks-000350156643-vun1j7-t1080x1080.jpg,2018
goosebumps,Travis scott,Birds in the trap since McKnight,cmu://879280/42186761/artworks-MbNeBJcybGa6Kzdy-NaamRw-t500x500.jpg,2016
Not my problem ,Laila ,Gap year,cmu://879280/42186973/artworks-VLCma6A6iAEghx7K-dqkwog-t1080x1080.jpg,2024
Lovely ,Billie elish ,Single hit ,cmu://879280/42187029/Billie_Eilish_and_Khalid_-_Lovely.png,2018
Headshot ,Ishowspeed,Single hit ,cmu://879280/42187094/hq720.jpg,2025
Not like us,Kendric lamar ,GNX,cmu://879280/42231114/artworks-BYsiQYcAA1yx31zd-xyUxWw-t500x500.jpg,2024
Kill bill,Sza,Single hit ,cmu://879280/42231126/kill-bill.jpg,2022
paint the town red,doja cat,Scarlet,cmu://879280/42231138/Doja_Cat_-_Paint_the_Town_Red.png,2023
I like it,Cardi B,Invasion of privacy,"cmu://879280/42231142/Cardi_B,_Bad_Bunny_and_J_Balvin_-_I_Like_It_(Single_Cover).png",2018
sugar on my tongue,Tyler the creator,Dont tap the glass,cmu://879280/42231164/a6126e9710c7547a519c7ffbc453ff64.1000x1000x1.png,2025
